"WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP","LCpos","LCneg","LC","Vader"
43,0,0.162790697674419,0.162790697674419,0,0,0,0,0.0465116279069767,0.0465116279069767,0,0.0232558139534884,0.0465116279069767,0.0697674418604651,2,4,-0.0465116279069767,-0.637
15,0,0.0666666666666667,0.0666666666666667,0,0,0,-0.0666666666666667,0.0666666666666667,0,0,0,0.0666666666666667,0.0666666666666667,0,1,-0.0666666666666667,-0.361
27,0.222222222222222,0.148148148148148,0.37037037037037,0.037037037037037,0,0.037037037037037,0,0.037037037037037,0.037037037037037,0,0.259259259259259,0.037037037037037,0.296296296296296,5,1,0.148148148148148,0.923
60,0.133333333333333,0.133333333333333,0.266666666666667,0.0666666666666667,0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333,0.05,0.166666666666667,0.05,0.216666666666667,7,2,0.0833333333333333,0.934
66,0.227272727272727,0.136363636363636,0.363636363636364,0.0151515151515152,0.0151515151515152,0.0303030303030303,0.0303030303030303,0.0151515151515152,0.0454545454545455,0.0151515151515152,0.227272727272727,0.106060606060606,0.333333333333333,6,1,0.0757575757575758,0.951
25,-0.04,0.12,0.08,0,0,0,0,0,0,0.08,-0.04,0.04,0,1,0,0.04,0
151,-0.119205298013245,0.218543046357616,0.0993377483443709,0.0132450331125828,0,0.0132450331125828,-0.0463576158940397,0.0662251655629139,0.0198675496688742,0.0132450331125828,-0.0463576158940397,0.119205298013245,0.0728476821192053,7,16,-0.0596026490066225,-0.571
4,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0
57,-0.0526315789473684,0.175438596491228,0.12280701754386,0,0,0,-0.0526315789473684,0.0526315789473684,0,0,0,0.0526315789473684,0.0526315789473684,3,2,0.0175438596491228,0.7
12,0.25,0.25,0.5,0,0,0,0.0833333333333333,0,0.0833333333333333,0,0.333333333333333,0.0833333333333333,0.416666666666667,3,1,0.166666666666667,0.624
48,0.0625,0.125,0.1875,-0.0208333333333333,0.0208333333333333,0,-0.0416666666666667,0.0416666666666667,0,0,0.0625,0.0625,0.125,3,2,0.0208333333333333,0.026
34,0.147058823529412,0.0588235294117647,0.205882352941176,-0.0882352941176471,0.0882352941176471,0,0.0294117647058824,0,0.0294117647058824,0,0.117647058823529,0,0.117647058823529,4,1,0.0882352941176471,0.785
38,0,0.157894736842105,0.157894736842105,0.0263157894736842,0,0.0263157894736842,0,0.0263157894736842,0.0263157894736842,0,0.131578947368421,0.0263157894736842,0.157894736842105,6,2,0.105263157894737,0.625
9,0,0.111111111111111,0.111111111111111,0,0,0,-0.111111111111111,0.111111111111111,0,0,0,0.111111111111111,0.111111111111111,0,1,-0.111111111111111,-0.052
5,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0
50,0.14,0.16,0.3,0.04,0,0.04,0.02,0.04,0.06,0.04,0.08,0.06,0.14,2,4,-0.04,0.758
16,0.0625,0.1875,0.25,0,0,0,-0.0625,0.0625,0,0.0625,0.0625,0.125,0.1875,0,1,-0.0625,0.494
22,-0.136363636363636,0.318181818181818,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,3,2,0.0454545454545455,0.751
44,0.0454545454545455,0.113636363636364,0.159090909090909,0,0.0454545454545455,0.0454545454545455,0.0454545454545455,0,0.0454545454545455,0.0227272727272727,0.159090909090909,0,0.159090909090909,6,0,0.136363636363636,0.477
12,-0.0833333333333333,0.333333333333333,0.25,0,0,0,0,0,0,0,0.166666666666667,0.0833333333333333,0.25,1,2,-0.0833333333333333,0
30,0.0666666666666667,0.0666666666666667,0.133333333333333,0,0,0,-0.0333333333333333,0.0333333333333333,0,0,0.0666666666666667,0.0333333333333333,0.1,3,1,0.0666666666666667,-0.477
40,0.175,0.1,0.275,-0.025,0.025,0,-0.025,0.025,0,0.025,0.175,0.025,0.2,4,1,0.075,0.234
12,0.333333333333333,0.0833333333333333,0.416666666666667,0.0833333333333333,0,0.0833333333333333,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0,0.333333333333333,2,0,0.166666666666667,0.765
10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,-0.374
15,-0.0666666666666667,0.133333333333333,0.0666666666666667,0,0,0,-0.0666666666666667,0.0666666666666667,0,0,0,0.0666666666666667,0.0666666666666667,1,1,0,0.175
9,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,0,-0.111111111111111,0.111111111111111,0,0,0,0,0
27,-0.037037037037037,0.148148148148148,0.111111111111111,0,0,0,0,0,0,0.111111111111111,0.037037037037037,0.037037037037037,0.0740740740740741,0,2,-0.0740740740740741,0.077
9,-0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0,0.111111111111111,-0.111111111111111,0.222222222222222,0.111111111111111,0,-0.111111111111111,0.222222222222222,0.111111111111111,1,2,-0.111111111111111,-0.331
7,-0.428571428571429,0.428571428571429,0,0,0,0,-0.142857142857143,0.142857142857143,0,0,-0.142857142857143,0.142857142857143,0,0,3,-0.428571428571429,-0.733
27,0.259259259259259,0.0740740740740741,0.333333333333333,0.037037037037037,0,0.037037037037037,0.037037037037037,0.037037037037037,0.0740740740740741,0.0740740740740741,0.259259259259259,0.148148148148148,0.407407407407407,7,1,0.222222222222222,0.83
48,0.145833333333333,0.0208333333333333,0.166666666666667,0,0,0,0,0,0,0,0.104166666666667,0.0416666666666667,0.145833333333333,3,3,0,0.751
28,-0.0357142857142857,0.107142857142857,0.0714285714285714,0,0,0,-0.107142857142857,0.107142857142857,0,0,0.0714285714285714,0.0357142857142857,0.107142857142857,1,1,0,0.128
29,0.206896551724138,0.0689655172413793,0.275862068965517,0,0,0,-0.0689655172413793,0.0689655172413793,0,0,0.241379310344828,0.0344827586206897,0.275862068965517,2,1,0.0344827586206897,0.758
20,0.05,0.05,0.1,0.05,0,0.05,0.1,0,0.1,0,0,0.1,0.1,1,1,0,-0.064
31,0,0.225806451612903,0.225806451612903,-0.032258064516129,0.0645161290322581,0.032258064516129,0,0.032258064516129,0.032258064516129,0,0.0645161290322581,0.0645161290322581,0.129032258064516,2,3,-0.032258064516129,-0.781
13,0.0769230769230769,0.0769230769230769,0.153846153846154,0,0,0,0,0,0,0,0.0769230769230769,0.153846153846154,0.230769230769231,0,2,-0.153846153846154,-0.852
26,0.115384615384615,0.0769230769230769,0.192307692307692,0,0,0,0,0,0,0,0.0384615384615385,0.115384615384615,0.153846153846154,3,4,-0.0384615384615385,-0.727
10,0.2,0.1,0.3,0.1,0,0.1,0,0,0,0,0.2,0,0.2,3,0,0.3,0.334
71,0.0985915492957746,0.140845070422535,0.23943661971831,0.028169014084507,0,0.028169014084507,0,0.028169014084507,0.028169014084507,0,0.112676056338028,0.0422535211267606,0.154929577464789,5,6,-0.0140845070422535,0.202
15,0.133333333333333,0.2,0.333333333333333,0,0,0,0,0.0666666666666667,0.0666666666666667,0,0.266666666666667,0.0666666666666667,0.333333333333333,3,1,0.133333333333333,0.735
4,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0
101,0.207920792079208,0.0792079207920792,0.287128712871287,0.0297029702970297,0,0.0297029702970297,-0.0198019801980198,0.0396039603960396,0.0198019801980198,0.0396039603960396,0.227722772277228,0.0198019801980198,0.247524752475248,11,4,0.0693069306930693,0.697
39,-0.0512820512820513,0.307692307692308,0.256410256410256,0.0256410256410256,0,0.0256410256410256,-0.0512820512820513,0.0769230769230769,0.0256410256410256,0.0256410256410256,0.0512820512820513,0.102564102564103,0.153846153846154,0,1,-0.0256410256410256,0.459
17,-0.0588235294117647,0.352941176470588,0.294117647058824,-0.117647058823529,0.117647058823529,0,0,0,0,0.0588235294117647,0.117647058823529,0.117647058823529,0.235294117647059,1,2,-0.0588235294117647,-0.718
14,0.142857142857143,0.142857142857143,0.285714285714286,-0.0714285714285714,0.0714285714285714,0,0,0,0,0,0.142857142857143,0,0.142857142857143,0,0,0,-0.273
7,0.142857142857143,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0,0,0.318
12,0.25,0.166666666666667,0.416666666666667,0,0,0,-0.0833333333333333,0.0833333333333333,0,0,0.25,0.166666666666667,0.416666666666667,1,2,-0.0833333333333333,0.559
9,-0.111111111111111,0.222222222222222,0.111111111111111,0,0,0,0,0,0,0,-0.111111111111111,0.222222222222222,0.111111111111111,0,1,-0.111111111111111,0.421
4,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103
26,0,0.0769230769230769,0.0769230769230769,0,0,0,-0.0384615384615385,0.0384615384615385,0,0.0384615384615385,0.115384615384615,0,0.115384615384615,2,0,0.0769230769230769,0.361
18,0.0555555555555556,0.111111111111111,0.166666666666667,0.0555555555555556,0,0.0555555555555556,0,0,0,0.0555555555555556,-0.0555555555555556,0.0555555555555556,0,1,1,0,0.152
